Data,Variacao_Mensal,Variacao_12_Meses
2025-06,0.86,10.03
2025-05,1.20,10.54
2025-04,1.49,11.29
2025-03,1.28,11.86
2025-02,0.80,12.16
2025-01,0.89,13.72
2024-12,-0.15,14.58
2024-11,0.90,16.79
2024-10,0.47,17.44
2024-09,0.94,17.94
2024-08,0.15,18.19
2024-07,0.78,20.21
2024-06,1.32,21.29
2024-05,1.88,22.03
2024-04,2.00,20.98
2024-03,1.56,20.74
2024-02,2.21,21.07
2024-01,1.65,20.57
2023-12,1.78,20.70
2023-11,1.47,19.51
2023-10,0.90,19.36
2023-09,1.15,19.96
2023-08,1.87,21.22
2023-07,1.68,21.33
2023-06,1.94,21.58
2023-05,1.01,21.45
2023-04,1.80,23.06
2023-03,1.83,23.64
2023-02,1.79,24.17
2023-01,1.75,23.75
2022-12,0.78,24.47
2022-11,1.34,25.51
2022-10,1.40,25.81
2022-09,2.22,25.18
2022-08,1.96,23.85
2022-07,1.89,21.91
2022-06,1.84,20.64
2022-05,2.35,19.36
2022-04,2.28,17.86
2022-03,2.27,16.92
2022-02,1.44,15.73
2022-01,2.34,15.90
2021-12,1.63,14.17
2021-11,1.58,13.05
2021-10,0.89,11.57
2021-09,1.13,10.02
2021-08,0.36,8.15
2021-07,0.82,6.43
2021-06,0.75,3.91
2021-05,1.06,1.79
2021-04,1.46,1.19
2021-03,1.23,0.47
2021-02,1.59,0.42
2021-01,0.82,-0.75
2020-12,0.63,-0.37
2020-11,0.25,0.11
2020-10,-0.51,0.58
2020-09,-0.59,2.52
2020-08,-1.24,4.27
2020-07,-1.56,7.04
2020-06,-1.30,9.07
2020-05,0.47,11.35
2020-04,0.74,12.24
2020-03,1.19,13.29
2020-02,0.40,13.31
2020-01,1.20,13.12
2019-12,1.11,12.39
2019-11,0.73,11.71
2019-10,1.41,11.05
2019-09,1.10,9.61
2019-08,1.39,9.20
2019-07,0.30,9.72
2019-06,0.76,11.16
2019-05,1.27,11.37
2019-04,1.68,9.70
2019-03,1.20,6.69
2019-02,0.24,5.19
2019-01,0.55,5.46
2018-12,0.50,6.21
2018-11,0.13,6.52
2018-10,0.10,7.09
2018-09,0.72,8.02
2018-08,1.87,8.22
2018-07,1.63,6.42
2018-06,0.95,4.20
2018-05,-0.25,3.80
2018-04,-1.10,5.05
2018-03,-0.22,7.52
2018-02,0.49,7.07
2018-01,1.26,6.00
2017-12,0.79,3.99
2017-11,0.67,2.89
2017-10,0.97,1.93
2017-09,0.91,0.65
2017-08,0.17,0.19
2017-07,-0.49,0.23
2017-06,0.56,0.20
2017-05,0.95,-1.53
2017-04,1.22,-3.44
2017-03,-0.64,-4.87
2017-02,-0.51,-3.42
2017-01,-0.66,-1.91
